#
# JB travel-time table for Sb
#
# number of distance and depth samples
24 16
# delta samples
0.000 0.025 0.050 0.100 0.250 0.500 0.750 1.000 1.500 2.000 2.500 3.000 3.500 4.000 4.500 5.000 5.500 6.000 6.500 7.000 7.500 8.000 8.500 9.000 
# depth samples
    0.000000    1.000000    2.500000    5.000000    7.500000   10.000000   12.500000   15.000000   17.500000   19.900000   20.000000   22.500000   25.000000   27.500000   30.000000   32.500000
#
# travel times (rows - delta, columns - depth)
#
    4.395757    4.249231    4.029444    3.663130    3.296817    2.930504    2.564191    2.197878    0.652742    1.279373    1.305483    1.958225    2.610966    3.263708    3.916449    4.569191
    5.121572    4.975047    4.755259    4.388946    4.022633    3.656320    3.290007    2.923694    5.204103    5.829228    5.853343    6.500448    7.146007    7.795529    8.446839    9.091727
    5.847387    5.700862    5.481074    5.114761    4.748448    4.382135    4.015822    3.649509    5.399666    5.987170    6.017875    6.641873    7.275424    7.915936    8.546668    9.192288
    7.299018    7.152493    6.932705    6.566392    6.200079    5.833766    5.467453    5.101140    6.075497    6.598661    6.640159    7.194093    7.757496    8.352188    8.959591    9.572340
   11.653911   11.507386   11.287598   10.921285   10.554972   10.188659    9.822346    9.456033    9.603555    9.856958    9.874279   10.191062   10.568599   10.976221   11.415104   11.894731
   18.912066   18.765540   18.545752   18.179439   17.813126   17.446813   17.080500   16.714187   16.730696   16.776364   16.827583   16.926071   17.113335   17.319702   17.519614   17.809834
   26.170220   26.023695   25.803907   25.437594   25.071281   24.704968   24.338655   23.972342   23.961773   24.002350   24.000070   24.064477   24.165355   24.269046   24.428036   24.604500
   33.428374   33.281849   33.062061   32.695748   32.329435   31.963122   31.596809   31.230496   31.169610   31.208406   31.207569   31.241618   31.330997   31.393001   31.516295   31.617632
   47.944683   47.798158   47.578370   47.212057   46.845744   46.479431   46.113118   45.746805   45.653159   45.644251   45.643932   45.679844   45.718806   45.761232   45.807602   45.900957
   62.460992   62.314467   62.094679   61.728366   61.362053   60.995740   60.629427   60.263114   60.133049   60.123074   60.122732   60.172667   60.169858   60.170978   60.232687   60.298610
   76.977301   76.830776   76.610988   76.244675   75.878362   75.512049   75.145736   74.779423   74.640624   74.627930   74.627475   74.618005   74.612257   74.645601   74.682760   74.688502
   91.493610   91.347085   91.127297   90.760984   90.394671   90.028358   89.662045   89.295732   89.091514   89.075762   89.075175   89.062267   89.095202   89.089221   89.129116   89.130182
  106.009919  105.863394  105.643606  105.277293  104.910980  104.544667  104.178354  103.812041  103.598943  103.580065  103.579341  103.562892  103.549609  103.539510  103.582039  103.578350
  120.526228  120.379703  120.159915  119.793602  119.427289  119.060976  118.694663  118.328350  118.049818  118.027848  118.026990  118.007052  118.018275  118.032395  118.021182  118.012906
  135.042537  134.896012  134.676224  134.309911  133.943598  133.577285  133.210972  132.844659  132.550197  132.525161  132.524171  132.500803  132.480100  132.462072  132.446728  132.465842
  149.558846  149.412321  149.192533  148.826220  148.459907  148.093594  147.727281  147.360968  147.001100  147.008391  147.007271  146.980546  146.956282  146.934485  146.915162  146.898320
  164.075155  163.928630  163.708842  163.342529  162.976216  162.609903  162.243590  161.877277  161.483830  161.452793  161.451545  161.460404  161.432668  161.407218  161.384060  161.363200
  178.591464  178.444939  178.225151  177.858838  177.492525  177.126212  176.759899  176.393586  175.966571  175.932579  175.931205  175.897959  175.866837  175.880226  175.853357  175.828626
  193.107773  192.961248  192.741460  192.375147  192.008834  191.642521  191.276208  190.909895  190.463461  190.426537  190.425038  190.388598  190.354144  190.321681  190.291213  190.308633
  207.624082  207.477557  207.257769  206.891456  206.525143  206.158830  205.792517  205.426204  204.903800  204.913457  204.911834  204.872241  204.834512  204.798652  204.764662  204.732548
  222.140391  221.993866  221.774078  221.407765  221.041452  220.675139  220.308826  219.942513  219.414844  219.372128  219.370383  219.327676  219.286725  219.247534  219.210105  219.227394
  236.656700  236.510175  236.290387  235.924074  235.557761  235.191448  234.825135  234.458822  233.883474  233.837889  233.836023  233.790229  233.746094  233.731877  233.719311  233.680157
  251.173009  251.026484  250.806696  250.440383  250.074070  249.707757  249.341444  248.975131  248.348575  248.300135  248.298148  248.279327  248.262065  248.216342  248.172196  248.129629
  265.689318  265.542793  265.323005  264.956692  264.590379  264.224066  263.857753  263.491440  262.863169  262.811877  262.809769  262.757862  262.707447  262.658528  262.611107  262.565185
#
# dtdd (rows - delta, columns - depth)
#
   29.032601   29.032651   29.032601   29.032651   29.032651   29.032651   29.032651   29.032651  227.803260  228.134838  227.965748  227.903096  227.623739  227.532657  227.696103  227.262406
   29.032598   29.032617   29.032598   29.032617   29.032617   29.032617   29.032617   29.032617   90.556800   89.712925   89.811704   89.260569   88.957442   88.753207   88.254594   88.179508
   29.032606   29.032600   29.032606   29.032600   29.032600   29.032600   29.032600   29.032600  -20.399579  -22.050896  -21.725524  -22.907610  -23.718548  -24.278124  -25.088198  -25.208799
   29.032625   29.032628   29.032626   29.032628   29.032628   29.032628   29.032628   29.032628   28.768857   27.475069   27.554458   25.999722   24.380802   23.235133   22.754342   21.831540
   29.032619   29.032617   29.032617   29.032617   29.032617   29.032617   29.032617   29.032617   27.300938   25.627056   25.511365   24.111268   23.124045   21.962363   20.632425   19.763920
   29.032618   29.032618   29.032618   29.032618   29.032618   29.032618   29.032618   29.032618   28.935622   28.697891   28.711820   28.329535   27.806254   27.261242   26.760236   26.168505
   29.032615   29.032619   29.032619   29.032619   29.032619   29.032619   29.032619   29.032619   28.708672   28.772811   28.604122   28.536873   28.378294   28.111420   28.062031   27.695553
