#
# JB travel-time table for pP
#
# number of distance and depth samples
75 35
# delta samples
25.000 26.000 27.000 28.000 29.000 30.000 31.000 32.000 33.000 34.000 35.000 36.000 37.000 38.000 39.000 40.000 41.000 42.000 43.000 44.000 45.000 46.000 47.000 48.000 49.000 
50.000 51.000 52.000 53.000 54.000 55.000 56.000 57.000 58.000 59.000 60.000 61.000 62.000 63.000 64.000 65.000 66.000 67.000 68.000 69.000 70.000 71.000 72.000 73.000 74.000 
75.000 76.000 77.000 78.000 79.000 80.000 81.000 82.000 83.000 84.000 85.000 86.000 87.000 88.000 89.000 90.000 91.000 92.000 93.000 94.000 95.000 96.000 97.000 98.000 99.000 
# depth samples
    1.000000    2.500000    5.000000    7.500000   10.000000   12.500000   15.000000   17.500000   19.900000   20.000000   22.500000   25.000000   27.500000   30.000000   32.500000   34.900000   35.000000   40.000000   45.000000   50.000000   75.000000  100.000000  150.000000  200.000000  250.000000  300.000000  350.000000  400.000000  450.000000  500.000000  550.000000  600.000000  650.000000  700.000000  750.000000
#
# travel times (rows - delta, columns - depth)
#
  326.942907  327.157181  327.514071  327.870670  328.226977  328.582993  328.938717  329.344563  329.733938  329.750157  330.155496  330.560582  330.965415  331.369993  331.774316  331.678234  331.687607  332.155318  332.621161  333.085138  335.377015  337.622215  341.972587  346.159434  350.065085 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  336.342238  336.555506  336.910719  337.265638  337.620263  337.974594  338.328631  338.732290  339.119561  339.135692  339.538839  339.941729  340.344362  340.746738  341.148856  341.151824  341.161073  341.622920  342.083572  342.543028  344.822389  347.074030  351.486444  355.756930  359.723929 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  345.542346  345.755776  346.111258  346.466446  346.821339  347.175936  347.530239  347.933971  348.321311  348.337445  348.740663  349.143623  349.546325  349.948768  350.350953  350.423498  350.432938  350.904030  351.373328  351.840835  354.151481  356.411395  360.800235  365.198215  369.313095 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  354.642218  354.855457  355.210619  355.565485  355.920054  356.274327  356.628303  357.031428  357.418185  357.434294  357.836902  358.239250  358.641338  359.043167  359.444735  359.585896  359.595463  360.072865  360.548475  361.022293  363.364495  365.656503  370.109219  374.544719  378.765786 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  363.643312  363.858191  364.216087  364.573688  364.930994  365.288004  365.644718  366.050768  366.440333  366.456560  366.862094  367.267370  367.672387  368.077145  368.481644  368.540473  368.550175  369.034339  369.516686  369.997216  372.372606  374.695564  379.209251  383.758192  388.015202 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  372.642477  372.856103  373.211908  373.567415  373.922624  374.277535  374.632146  375.035548  375.422568  375.438688  375.841568  376.244185  376.646541  377.048635  377.450466  377.487227  377.497074  377.988451  378.477961  378.965605  381.375815  383.733964  388.313362  392.865294  397.194941  401.275648  405.107809  408.731648  411.819741 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
