ESG14, ESG14, -92.26289090909091, 36.04798227272727, 320.8181818181818
ESG15, ESG15, -89.881303875, 35.93936906249999, 110.025
ESG33, ESG33, -116.99541133333332, 34.758184666666665, 963.3555555555556
ESG38, ESG38, -83.31235059999999, 34.7345903, 404.21
ESG40, ESG40, -84.20554225, 35.277108333333324, 412.24166666666673
ESG41, ESG41, -85.6598509, 34.5833801, 361.2
ESG54, ESG54, -90.66427525, 37.91609035, 230.28000000000003
ESG56, ESG56, -86.42046688888888, 38.312855222222225, 196.44444444444446
ESG59, ESG59, -115.49328084615384, 44.075272846153844, 1698.8846153846155
ESG64, ESG64, -89.60456471428571, 37.51770271428571, 163.16904761904763
ESG65, ESG65, -88.5569681875, 38.1523749375, 149.93125
ESG66, ESG66, -120.57160250000001, 39.658739749999995, 1247.675
ESG75, ESG75, -91.98298236363637, 32.45270918181818, 45.27272727272727
ESG76, ESG76, -90.42438969999998, 32.638640099999996, 72.1
ESG77, ESG77, -88.01758933333333, 32.644422666666664, 103.11111111111111
ESG78, ESG78, -85.98828888888889, 32.60511177777778, 178.55555555555554
ESG79, ESG79, -83.74717784210526, 32.62359247368422, 225.95263157894738
ESG91, ESG91, -93.82784366666667, 47.51378833333334, 404.3333333333333
ESG92, ESG92, -92.54324183333331, 46.21007504166666, 359.375
ESG95, ESG95, -94.94985522222223, 45.59038922222223, 365.22222222222223
ESG97, ESG97, -91.92027772727273, 45.458445681818176, 343.45454545454544
ESG99, ESG99, -93.51993966666667, 44.56179360000001, 331.8
ESG100, ESG100, -91.617394, 43.886334000000005, 347.2
ESG105, ESG105, -94.129739875, 41.203962875, 338.625
ESG109, ESG109, -93.51701249999999, 40.12795025, 283.75
ESG114, ESG114, -93.35137766666668, 37.050867333333336, 375.3333333333333
ESG120, ESG120, -110.6909378, 43.165037999999996, 2216.0
ESG123, ESG123, -111.9820775, 40.62848125000001, 1872.0
EUD65, EUD65, -89.5115378125, 37.2505530625, 166.5375
FAW15, FAW15, -118.96661075, 37.7459263125, 2584.53125
FAW38, FAW38, -118.8790931, 34.281018, 523.9
FAW73, FAW73, -89.459487, 32.56675, 112.375
ESU16, ESU16, -91.85345025, 36.060750166666665, 242.38333333333333
ESU17, ESU17, -142.80742713636366, 60.65412736363637, 1269.3272727272727
ESU18, ESU18, -149.11852969999998, 64.36847999999999, 683.6899999999999
ESU20, ESU20, -143.5119720909091, 60.48014554545455, 886.8818181818183
ESU21, ESU21, -89.9807083888889, 36.128516833333336, 108.57777777777778
ESU27, ESU27, -122.053593625, 37.955055125, 345.7875
ESU37, ESU37, 8.639762777777777, 46.773114444444445, 1185.3333333333333
ESU46, ESU46, -83.42510090909092, 34.57328181818182, 409.4181818181818
ESU48, ESU48, -84.406237375, 35.229043375, 404.53125
ESU70, ESU70, -91.03629353846154, 37.803385, 279.83846153846156
ESU73, ESU73, -87.91913155555557, 36.35986622222222, 186.77777777777777
ESU74, ESU74, -110.739538125, 44.250613875, 2362.25
ESU75, ESU75, -115.55238942857143, 44.09126025, 1666.1785714285713
ESU82, ESU82, -89.56554653846153, 37.46107711538462, 147.35384615384615
ESU84, ESU84, -120.20133175, 39.548888625000004, 1561.4625
ESU91, ESU91, -92.77521337499999, 32.764275000000005, 65.5
ESU92, ESU92, -91.22971645454545, 32.69598263636363, 43.09090909090909
ESU93, ESU93, -89.1887875, 32.790200125, 101.0
ESU94, ESU94, -87.49365012499999, 32.76372549999999, 100.0
ESU95, ESU95, -85.91507218181818, 32.55305472727272, 172.9090909090909
ESU96, ESU96, -83.94036191666667, 32.52308570833333, 287.0166666666667
ESU97, ESU97, -82.14850014285715, 32.27823542857143, 64.75714285714285
ESU101, ESU101, -85.8964, 31.448074875, 95.375
ESU103, ESU103, -97.978899875, 30.39582525, 285.375
ESU109, ESU109, -93.55208844444444, 47.394977, 407.6666666666667
ESU110, ESU110, -92.41054135294118, 46.13585305882353, 353.11764705882354
ESU111, ESU111, -91.51980027272728, 46.13025454545454, 359.72727272727275
ESU115, ESU115, -92.05291987499999, 45.633837750000005, 331.9375
ESU122, ESU122, -90.345701125, 42.340788375, 273.625
ESU126, ESU126, -90.27388875, 40.841174624999994, 217.3
ESU139, ESU139, -110.5500935, 43.26880625, 2222.25
ESU140, ESU140, -117.6162455, 44.556813727272726, 1212.5363636363636
ESU142, ESU142, -112.06043888888888, 40.70816777777778, 1906.0
ESU143, ESU143, -118.19366992307692, 44.134653769230766, 1325.4
ESU155, ESU155, -114.37449526086952, 44.152052434782604, 1977.4347826086957
ESU156, ESU156, -115.16807813043478, 44.31376928260869, 1758.1304347826087
ETK58, ETK58, -90.70068791304347, 37.908813217391305, 225.13913043478263
ETK70, ETK70, -89.69457247222222, 37.36351830555556, 167.36111111111111
ETK115, ETK115, -89.6622, 39.658787375, 194.375
EUM18, EUM18, -92.08938768750001, 35.93508775, 265.2875
EUM22, EUM22, -89.99290466666667, 35.74895866666667, 105.03333333333332
EUM47, EUM47, -77.83758262500001, 38.03966975, 110.3875
EUM56, EUM56, -90.85097218181818, 38.07952709090909, 236.78181818181818
EUM63, EUM63, -74.254669875, 44.812241125, 264.0375
EUM67, EUM67, -89.64980023076922, 37.20950784615384, 155.27692307692308
EUM71, EUM71, -76.409476, 40.19726825, 175.75
EUM79, EUM79, -88.96647744444445, 32.653667000000006, 102.0
EUM85, EUM85, -90.66322570000001, 31.5774113, 57.2
EUM97, EUM97, -92.75184692307691, 47.14732284615385, 413.61538461538464
EUM99, EUM99, -92.57193174285713, 46.240711714285716, 353.9714285714286
